name,line
Interviewer,Just getting like cheaper and cheaper and um uh there's just more at your.
Grimes,Fingertips and more sort of like not hardware although i love hardware.
Interviewer,A lot but you know um yeah but the i mean what's what's out there now i mean i.
Grimes,Play guitar i have a little knowledge about this stuff um um it's it it really is remarkable.
Interviewer,The things you can do literally on your own and for not a lot of money.
Grimes,Yeah no it's like just like magic it's just like literal magic like yeah yeah you know let.
Interviewer,And i want to talk about sort of the thematic kind of thread of the album and a lot.
Grimes,Has been written and said about it um so so tell me your thinking about kind of the the concept.
Interviewer,For these songs the thematic thread um was crazy because it's such a different time.
Grimes,Than when i started making this record like when i started making the record i was just like having such bad anxiety.
Interviewer,About the environment and it just did not seem like it was the topic of the day yet whereas now it.
Grimes,Seems like it's like quite the topic so it's like i i don't know it just seems less wow.
Interviewer,But like in general like um you know i'm just thinking a lot about.
Grimes,Existential risks to humanity in general like i feel like we feel safer than we are you know.
Interviewer,It's like we're in a weird time where we kind of have the capacity to destroy our own species um.
Grimes,Technologically and i feel like we're in sort of like a technological like moment whereas you know it's just.
Interviewer,Like can we survive it or not um and i just kind of.
Grimes,You know i was like why do people i was really like turning off the news i was like i.
Interviewer,I you know like 2018-ish like 2017. i was like i just can't  take the news anymore and i was.
Grimes,Like oh this is bad i was like if i'm turning off the news it's just like not a good situation like.
Interviewer,How could i make this more um digestible i guess you know um and you know i was like well.
Grimes,I like the joker like i can handle like a villain in a comic book or something um and i was like maybe it's just a bit.
Interviewer,More um digestible and a bit less like painful to anthropomorphize things like climate change that are.
Grimes,You know sort of existentially distressing um and also maybe it's a bit easier to.
Interviewer,Pay attention to them i was like you know how could i get someone to like why is everyone going to see a marvel movie.
Grimes,But like doesn't just don't want to engage with climate change or.
Interviewer,Other things and um you know then i kind of started getting into this idea of the new gods and i was like man it would be.
Grimes,So sick like if there's like the goddess of plastic and the goddess of like.
Interviewer,You know like opium or opiates like it's just like like aesthetically that that kind of.
Grimes,Concept just started really kind of consuming my brain um well and and all of this.
Interviewer,You know given where we are with the pandemic i mean it's eerily kind of prescient in.
Grimes,A way yeah it's really weird see i wouldn't make this album now because now it just.
Interviewer,Feels mean like it's like because just got so  up in the meantime.
Grimes,That's i mean that's really interesting in and of itself yeah i'm just like like now just me like.
Interviewer,This album it even kind of hurts my sensibilities at this point it just like feels so aggressive and i'm like.
Grimes,Everything is just so up right now i don't want to be like like hey guys there's a comic book.
Interviewer,Version of everything that's like brutalizing us but um uh yeah i don't know it's like um.
Grimes,I wouldn't make it now i feel like especially like postcode and everything it's like.
Interviewer,I mean the thing i always say about social media is it's like kind of creating the collective.
Grimes,Unconscious or the collective consciousness or whatever like it's like humanity like is actually getting linked.
Interviewer,Psychologically like in a tangible way and so like everyone is sort of confronting.
Grimes,Everyone's suffering all at the same time like it's like literally you just it's just like like you just.
Interviewer,Like you cannot escape from like the suffering the sort of like mass suffering of.
Grimes,Humanity as a species which i think is a good thing because i think ultimately the only way to get.
Interviewer,Through this is to like actually start having like better solutions to things but it's just.
Grimes,There's a short-term mental health crisis for sure because it just really is.
Interviewer,Super painful like um so it's just like now miss anthropocene just see like i don't want to like add.
Grimes,To the pain so i'm like i'm like oh god this album is so like kind of like conceptually violent.
Interviewer,But like like it just feels mean but um you know but you do you do you do cover.
Grimes,I mean yes there's there's the global climate crisis and you kind of go there.
Interviewer,Obviously but you do cover a lot of kind of intimate space as well um and there's there's a.
Grimes,Vulnerability in that um do you feel bad yeah for sure for sure i.
Interviewer,Mean i think all this stuff i feel like we people have a lot of personal grief.
Grimes,About things like whatever like climate change or pandemic or racism or whatever like it's like.
Interviewer,There is just an actual cost um like personally um and i was you know like a lot of things obviously affect me.
Grimes,Personally like i grew up in vancouver and there's a lot of just heroin use and stuff in.
Interviewer,Vancouver and like you know i have lost like a lot of friends to heroin.
Grimes,Related death or whatever so it's like you know like that's like pretty front of mind for me.
Interviewer,So even though we're talking about this current record are you already on to the next thing.
Grimes,Are you already yes i don't talk about it too much because i don't want to that'll.
Interviewer,Be a whole thing but i think we're almost done all right all right well i still have a.
Grimes,Few more questions about this album and then you know we'll we'll set we'll set.
Interviewer,Another time to talk about the next one um so so previously and and on this record you've done.
Grimes,You know 99 or more of your own production and on on this album though you do have.
Interviewer,Some collaborators some folks who helped with mixing or how you know what it might be i i'm.
Grimes,Wondering if even even those collaborations have in some way.
Interviewer,Changed your approach or your thinking about making music i mean i'm definitely done.
Grimes,With the sitting alone in a tower making an album by myself thing i think like i think myself robertson.
Interviewer,I was like as long as i'm on an independent label like as long as i'm on 4d i was like.
Grimes,Why would i spend money working with other people like it's just really expensive and um.
Interviewer,You know it's just like what's the point um kind of thing especially if you can make it.
Grimes,Yourself and you know you just like i kind of had something to prove like i just kind of.
Interviewer,Wanted to like fully defeat um any notion you know like people saying like oh she doesn't really do it.
Grimes,So you know but i feel like five records is a good amount of records to make on your own.
Interviewer,Um at this point like i actually do really just want to work with more people and.
Grimes,Because you can learn more like it's like every time i get in the room with somebody.
Interviewer,Might i get like significantly better at producing um anyway so are you are you a good collaborator i think.
Grimes,So i think i'm gonna with the right people i feel like okay like i don't do a lot of sessions.
Interviewer,It doesn't always but like if it's if i like choose someone who i think is like really.
Grimes,Great at what they do then it's going to be a good session yeah what would you what would you look.
Interviewer,For in a collaborator what what what does a collaborator kind of have to have.
Grimes,For you to want to work with them um just they've made some of my favorite songs like i usually just.
Interviewer,Like the record i'm working on now is like a collaborative record and like the few i have like another.
Grimes,Collaboration coming out later this year that i made like i just like i'm like okay who's made my favorite songs.
Interviewer,Usually like left of center like i'm trying to find people who are like not but yeah yeah like and then i just hit.
Grimes,Them up i'm like you know if you make great music we'll probably make great music together wait.
Interviewer,I don't know i do a lot of cold emailing not a lot but like if i think someone's sick how does that.
Grimes,Work out it's pretty good yeah um i don't know no yeah people usually.
Interviewer,Respond people respond yeah yeah uh you know you use um and particularly on this album um.
Grimes,Fantasy and villains and pop culture references um um tell me about the work because i.
Interviewer,Was interested to learn that that you're you're a fan of jack kirby's um tell me tell me about his work and i.
Grimes,Know i know it's influenced your visual art but i'm wondering if in any way it influences.
Interviewer,The music um i mean he's just one of my favorite illustrators i mean he's obviously.
Grimes,I feel like jack kirby doesn't get enough kind of appreciations i guess he sort of died and then like stanley.
Interviewer,Was sort of like but stanley also like i'm not trying to discredit stanley but it's like jack kirby just.
Grimes,Died before like um the comic book stuff got more mainstream so i feel like he's less in people's minds um.
Interviewer,I just like when i look at his art i'm just like what the like it's just so satisfying to me.
Grimes,Especially the way it's kind of like like i in my art i do a lot of um like hard sort of like science fiction.
Interviewer,Looking stuff with like strong light and like a lot of like reflection i guess not to like but i i would say.
Grimes,That's pretty inspired by jack kirby like he's definitely i guess a big inspiration for me.
Interviewer,Like oh and heavy line like he does i mean it's a comic so it's like gonna be super line work oriented but that's sort.
Grimes,Of like how i draw two as opposed to like painting or something.
Interviewer,Um uh but yeah in general i just i love modern mythologies and i sort of think um i think there's a lot of modern.
Grimes,Mythologies that are like more important to us than we think you know like like all the marvel stuff.
Interviewer,And i i think is sort of like modern homer or like you know sort of controversial savings.
Grimes,But like harry potter like game of thrones or whatever like it's you know obviously these.
Interviewer,Things like like chadwick has been dying people like couldn't take it it was like a.
Grimes,You know a hero dying so i feel like that's like it it's our it's our it's our homer uh.
Interviewer,Or our whatever you know um tell me i'm interested in the track idoru.
Grimes,Um um well i mean you know i'm not sure how how much william gibson's novel.
Interviewer,Influenced influence that or not as as the case may be but as you're talking about all of this.
Grimes,Mythology that's an interesting place to go well it was crazy okay this sounds bad i.
Interviewer,Haven't actually read that novel i love william gibson um and i was like reading a lot of william gibson.
Grimes,While he's making this album um but uh uh specifically every other track like a weird name and.
Interviewer,Just the one song adore you i was like this is a boring name i'm sitting with my friends and i was like.
Grimes,This is like the i'm like i need a better name for this song but like i feel like it should be.
Interviewer,The title of the song because the hook is adore you so it's like i don't want to like lose the title and.
Grimes,Then my friend was like oh like there's like a william gibson novel called adore you about.
Interviewer,Um like a digital pop star or something and i was like what like this seems like too perfect and.
Grimes,Then i like um ordered the book and then when i got it it.
Interviewer,Literally says for claire i opened it and said for claire and i was like what the.
Grimes,My birth name is claire that's not my name anymore but i can't i actually hate that name but like.
Interviewer,It was just which is his daughter i guess but i was like this is really weird um.
Grimes,It was like a trippy moment it felt like a simulation like sending me a sign so yeah yeah um sidebar.
Interviewer,Not not a related question but i i read that um your most streamed artists last year.
Grimes,Were dojicat and vangelis yes oh both amazing um so tell me tell me what it is about.
Interviewer,Those artists that that kept you going back to that music i mean i just think dojo cat is like a.
Grimes,Genius like which i think more and more people are realizing i've been like really obsessed.
Interviewer,With dojo cat since literally like 2012 or something like whenever she put out so high i remember.
Grimes,Just being like this artist is like better than people are.
Interviewer,Giving her credit for like um you know uh so i've been like a pretty big fan.
Grimes,Like i even like yeah um i just find it like i find her voice very addictive i feel.
Interviewer,Like you can just hear her intellect like through the music i know that's like a weird thing to say but.
Grimes,Like and now that she's sort of doing her weird comedy thing it's like pretty obvious that she's pretty smart so like.
Interviewer,I feel like i'm not crazy for like hearing that um and her voice is just really i don't.
Grimes,Know it's just an addictive thing ben jealous it's just the same i mean jealous i just think he's the coolest.
Interviewer,Music in the world like i just think you can just put on vangelis all the time.
Grimes,Like i like the blade runner soundtrack is arguably like my favorite album like period in all of history.
Interviewer,And and um thing i love about angelus is it's like in this weird moment in time where it both sounds really old and.
Grimes,Really new and very little stuff sounds like it because it's like early synth music and stuff so it sounds it's.
Interviewer,Got this kind of janky like early synth energy but it also just sounds so futuristic for the time that it's just.
Grimes,Like this i don't know it's just like this perfect thing evangelist.
Interviewer,He was way he was way ahead of the curve yeah so i had it still sounds futuristic like it.
Grimes,Literally still sounds futuristic like i just listened to it like i i listened to vangelis like.
Interviewer,Like an absurd amount like possibly too much um yeah jealous overdose.
Grimes,Um uh so so you you've talked about and you've covered ai.
Interviewer,In your music um you've talked about it quite a bit yet the interesting thing is the.
Grimes,Algorithms that drive streaming recommendations generally don't know what to do.
Interviewer,With your music yeah better but is it getting better i think it's more the algorithms.
Grimes,Like people think we're not dealing with ai and people like aren't worried about ai.
Interviewer,And then they're like and then it's kind of like all these artists not getting stream but only these.
Grimes,Artists are getting streamed and i'm like or you know you look at social media and.
Interviewer,Like people getting so upset at each other and everything and i'm like this is like.
Grimes,Baby ai going wrong you know like we're dealing with ai like lit literally all the time and it's actually.
Interviewer,Super impacting our culture and the way we listen to music and the way we communicate with each other and the.
Grimes,Election like it's super impacting everything and everyone's just kind of like.
Interviewer,It's not a you know people always get really mad at me when i talk about it but i'm like.
Grimes,Just to be clear like we should probably be paying attention to the state of ai.
Interviewer,And the state of the algorithms um because yeah it's a yeah.
Grimes,It's a it's a sketchy situation in my opinion yeah yeah agreed agreed so um uh in.
Interviewer,The time in the time we have left um um can you can you hint at all about this about this new album.
Grimes,Um sonic direction what what what can you say about it uh i would say it's definitely by far my.
Interviewer,Favorite thing i've ever made uh i don't want to say too much because i feel like.
Grimes,I want to like think carefully about the first thing i say about it and i don't want to just like.
Interviewer,Say something offhand that ends up being like with some prophecy i just said a bunch of before i was done.
Grimes,Um and then like i changed some things but everyone was like super attached to the i said at the beginning so.
Interviewer,Then like i you know um so i i want to be like careful um.
Grimes,But uh yeah i feel like i shouldn't i feel like i shouldn't say too much about it.
Interviewer,Because um so so last question um yeah i i think you've referenced a couple of.
Grimes,Times uh that that grimes as a musical project was was very youthful was was you you know.
Interviewer,In a perhaps more youthful stage so so how have you evolved as an artist.
Grimes,Very immature it's a widely uh accepted reality um i don't know i feel like it's growing up.
Interviewer,I i feel like it's getting a lot more like like it feels very i feel like when i.
Grimes,Listen to visions it feels like i can feel my lastness um and i feel like with each increase.
Interviewer,With each subsequent album it seems a lot less lost and a lot more powerful or something so i don't know i.
Grimes,It's sort of intangible but um and lyrics like when i made well i mean.
Interviewer,When i was young like this is definitely something like weird neurological problem i had but i didn't.
Grimes,Realize music had lyrics like i thought all music had fake lyrics like i literally.
Interviewer,Listened to music and it was like blah blah blah like i thought like it was just.
Grimes,Fake words for some reason so my first three albums are like mostly don't have words because i just.
Interviewer,Like didn't think people were saying a lot of words because i i.
Grimes,Literally don't know how that happened to me um but i think sort of like discovering.
Interviewer,Poetry in my more recent work is like really has been really good for my brain.
Grimes,Although i do kind of want to make more music without lyrics again in the future but.
Interviewer,Um uh yeah i feel like i feel like the the adding the kind of intellectual or like the.
Grimes,Sort of more cerebral part because before music when i would make music it was just emotions like i was just like.
Interviewer,Emotions emotions motions like and i feel like there's this sort of more cerebral element kind of like.
Grimes,Growing with each time i like go for it uh which i think i personally think is making it better i.
Interviewer,Know some people have qualms with it and i will make more glossolalic.
Grimes,Kind of like non-verbal music or fake alien languages in the future um because i do i actually think i like.
Interviewer,That kind of thing but yeah well we certainly look forward to whatever.
Grimes,Comes next um for now the current album is called miss anthropocene grimes thank you so much.
Interviewer,For being with us today yeah thank you so much for having me and um taking the time and i hope you have a.
Grimes,Great afternoon you too  .
Interviewer,"So, how did Grimes come about?"
Grimes,"It was pretty overnight and pretty random I honestly made a tape for fun and then it kinda blew up on the Internet and was totally surprising. And we weren't prepared for it, I started out with 30 tapes and then we just gave it out for free online."
Interviewer,"Visions, your new record, is your fourth album released in less than two years."
Grimes,"Visions is actually really old, I finished it in August. It's mostly about emotional stuff, this record. This is also the first record for which I tried writing lyrics although they are unclear because of my lisp. My other records were pretty emotionally aimless. Since this is my job now I wanted this record to mean a lot to me. So there's definitely stuff in the lyrics but I think its vague enough that most people wouldn't know what the fuck its about."
Interviewer,"You've got a unique sound, how would you yourself describe it?"
Grimes,"There will always be the Grimes sound, because I am who I am. I definitely always want huge beats. My voice, though, it is what it is and it's not going to change. I feel like I go through phases all the time; Visions is my New Jack swing drum and bass phase. What's interesting about Grimes is that it's attempting to be pop but its kind of failing and ending up somewhere else."
Interviewer,"The album is being released on 4AD, a new label for you. Was it difficult to find a label or other creative people to work with since you have such a unique sound?"
Grimes,"The thing I care about the most is artistic integrity. I would never change something to please somebody. I don't even read interviews or reviews or anything because I just don't wanna know. I feel like its so easy to get caught up in being worried about what people think and I really think the best shit comes out of not thinking about any of that at all. My team is just my crew, which is totally sick because they would never tell me to change anything. And once we reached a certain amount of success then people figured the formula was pretty decent."
Interviewer,"Sometimes I bounce shit off people and they're like 'You know Claire that's just a bit too much you should tone it down' and I'm like oh yeah you're probably right. Artistic freedom is my biggest concern, which is why 4AD was a good pick because most of the other labels we talked to were kinda like, Well, we think you should re-record the vocals."
Grimes,We can respect that. What kind of artists did you grow up listening to?
Interviewer,What other than music do you find inspiring?
Grimes,"Science fiction movies. I always think about playing stuff at parties, as stupid as that is, you always think about how great it would be to dance to something with really loud speakers. I care so much about beats the physical feeling the emotion of it. Is this actually something I can have a physical connection with? That's pretty big for me."
Interviewer,You're also a pretty snappy dresser. How would you describe your style?
Grimes,"Tank Girl or sci-fi punk. I'm always wearing skirts that I'd cut shorter and just don't hem. I always wear combat boots at all times, that's the basis of everything, the combat boots. I have this really sick trench coat from the Korean war that I always wear, but when I do photo shoots that not my clothes really its what they bring."
Interviewer,"2012 is shaping up to be a pretty big year for you, are there any other big changes going on?"
Grimes,"I quit smoking weed, which has actually been great. My life has been so much better since I quit smoking weed. I'm so much more motivated now. Its great for recording but it's really bad when you have to do interviews and photo shoots and stuff. When I smoke weed and then I think about what I'm doing with my life I'm like, Oh, My God! I have to sing in front of people in front of people and I'm just so baked and I start getting anxiety about it. And I refuse to read any reviews or articles about me ever. I feel like it's bad for your brain."
Interviewer,Good! Who is on with us?
Grimes,E is here.
Interviewer,"Hey, Lana. It's Elon. I'm about to leave."
Grimes,He's about to leave. He will not observe. Are you back from tour?
Interviewer," Yeah, I was touring and then I was in Oklahoma for a hot minute."
Grimes,Why Oklahoma?
Interviewer,"My boyfriend is there, actually."
Grimes,"I don't know if I've ever been to Oklahoma. For some reason, I'm terrified of tornadoes there."
Interviewer,"It's a thing. And it's funny you say that, because nobody told me that on Wednesdays at noon, which is when I got there, they do a trial siren test."
Grimes,Oh my god.
Interviewer,"So I actually thought that there was a tornado when I got in, because it was loud and it went on for two minutes. I was like, ""What is going on?""."
Grimes,It's like World War II in the bunker.
Interviewer,"Yeah. Everyone was laughing mercilessly at me, but I was like, ""Well, we have earthquakes here.""."
Grimes,I actually think there was an earthquake yesterday. But earthquakes are fun. All natural disasters are fun in the abstract.
Interviewer,"Yes, in the abstract. I was thinking about your new album. I don't know if I'm saying it right,is it Miss_Anthropocene?"
Grimes,Yeah.
Interviewer,"Do you feel like the songs are more personal, or do they have the overculture weighing on them?"
Grimes,"A bit of both. I'm really obsessed with polytheism. I love how the ancient Greeks or the ancient Egyptians lived in this weird anime world where there were just tons of gods that could be anything. It's like every form of suffering had a representation. I wonder if it almost has a positive psychological effect. If your kid dies in a war, you can literally go speak to War and be like, ""Why did you do this?"" Or, ""I hope you did this for a reason."" There's a weird philosophical justification for all pain, and there's an anthropomorphization of every form of pain. In our current society, we don't even know how to talk about things. So my album's about a modern demonology or a modern pantheon where every song is about a different way to suffer or a different way to die. If you think about it, god-making or god-designing just seems so fun. The idea of making the Goddess of Plastic seems so fun to me."
Interviewer,It's a very creative infrastructure to work within.
Grimes,"Yeah. Religion is like the best science fiction. I know a lot of people who are atheist or agnostic, and they just hate religion and can't see anything good in it. Even if you don't believe in god or anything, this is incredible art. It's incredible storytelling, incredible character design, incredible visual art. I know we both love reverb. Imagine going into a church in medieval Europe, and you had only ever heard music as someone playing a lute. You enter a cathedral for the first time, and you hear someone singing through a super long reverb. What a mystical experience that would be."
Interviewer,"What is mysticism to you, and is it important in your art?"
Grimes,"Mysticism is an evolutionary byproduct. I think we're inherently religious, even if we're not explicitly religious. We get emotional about things that feel religious. Even the way people feel about you, it's a form of idol worship. I don't know what else you would call it. If there's an artist I love, I see them live and I cry, and I'm like, ""Man, I'm acting like some 14th-century farmer right now."" I feel like some pilgrim seeing a holy relic or something."
Interviewer,I've felt that way at a Dylan concert. How would you describe the place you're at in your life right now?
Grimes,"I've recently fallen into a place of extreme flux, where I feel like I don't know myself at all, but it's also the most self-assured I've ever been. I don't know if you've ever felt like that."
Interviewer,"I think that feeling comes when you're on the right path. You think you should feel super different, but you're actually just right where you're supposed to be."
Grimes,"I feel ready to totally blow all of my shit up and make something new. I'm in a place of extreme displacement. You know when you just feel like you have a lot to lose? With my last album, I kept getting in trouble for saying stupid shit in the press or tweeting dumb shit. I just run my mouth like a fucking asshole and there's nothing I can do about it. I don't think before I speak. I try to, but I don't think in words. I just think in weird pictures."
Interviewer,"I get that. For better or worse, when you're not used to being a super-extroverted person, you end up saying what you said for some reason that's going to end up being important to you in hindsight. It's not the easiest, it might be a little messy, but you have to get used to the tumult of the public nature of things."
Grimes,"I was reading yesterday about outrage culture, and for just about every emotionally loaded word that's in a tweet, the tweet gets 15 percent more interaction. We live in this weird time where we didn't evolve to engage with this many people, and we didn't evolve to be observed as much as we're being observed, or to observe other people as much as we're observing them. No one is considering the psychological impact of all this crazy technology. Especially since Trump was elected, this is the first time that the general public is fully on the internet. Grandma is on the internet."
Interviewer,"I think about that all the time. It's important to say it out loud. It's a little bit like the Wild West again in the way that we are learning how to deal with each other on a mass level and an instant, interconnected level. I've been trying to create my own blueprint. It's like, how do you fit into the culture and still live your own life the way you authentically would?"
Grimes,I do think everybody's going to have to get a lot better at forgiving.
Interviewer,I agree.
Grimes,"I can have a pretty extensive moral, ethical disagreement with somebody, and it still makes more sense to get along than to not get along. If you ever go read old census documents before the printing press from France or Russia, nobody had the same name. Just crazy-ass names all over the place. And then after the printing press, everyone started having the same 20 or 30 names. We entered this monoculture zone where everything got more centered into single sources of power. Everyone was in agreement on who the biggest stars in the world were. Everybody knew Michael Jackson and Madonna. But now, with the internet and all of these different forms of media, we're entering a new period of customization again where people are able to customize their existence more. I feel like the kids of the millennials are just going to have wild names."
Interviewer,I don't know which way my kid will go.
Grimes,Do you have any names in mind?
Interviewer,"I think it could go anywhere from a simple Maria Estela to, like, Ivory Cricket. Oh, god. That's a soundbite."
Grimes,"Knowing our fate, the headline will be that your unborn child is named Ivory Cricket."
Interviewer,Is it important to you to be right in the middle of the culture?
Grimes,"Man, I don't know. You hit a phase where you lose your life. I open the internet sometimes, and it's like, ""Grimes is testifying in court,"" and I'm like, ""What the fuck is this? I'm definitely not testifying in court."" I call my lawyer:""Am I testifying in court?"" And they're like, ""No, you're definitely not testifying in court.""."
Interviewer,It has a level of surreality to it.
Grimes,"I've hit this point where there's so much stuff that people think about me that has no basis in reality that I feel like I have to remove myself from my public self. I had to kill my ego, because there was no way to remain invested in myself as having anything to do with the culture while surviving mentally."
Interviewer,"There are cycles to it. You can have years of ambivalence, and then it's like that natural female hot and cold cycle. You can come back into caring extremely and being invested in yourself and your work, and then not caring at all. I think the good thing about what's going on with you is that for all the hardship and the confusion, you can continue to make music and people will be intrigued because there have been so many little twists and turns."
Grimes,"I think my motto in life is just, ""Don't be bored."" Even if I'm having the worst time, I'm like, ""Wow, this rules."" In some of my worst moments I remember thinking, ""Damn, this is such sick fodder for my eventual book."" Speaking of which, would you ever write a book?"
Interviewer,"It's funny, people have been asking me that lately. Ever since I started caring a bit less, and, like you said, disregarding ego,which is easy for me, thankfully,I've been writing more short stanza poetry. And now that I've done that, I was thinking, ""Would I ever write something long-form?"" I think I would want to, but honestly, I'm so hyperactive in my life. I don't know if I could complete it, so I think it might be something like chicken scratch, all placed together in some long-form novel."
Grimes,"I was reading a study of the average age of artists. People are always saying shit like, ""Oh, you're so much less creative as you get older,"" like your brain becomes less plastic and more static, which I actually disagree with."
Interviewer,"Yeah, me too."
Grimes,"What's interesting is that most novelists peak in their sixties. When I think about many of my favorite books, it's mostly old-ass people who wrote them. My thought was, ""Oh, I'll just wait until I'm old and out of musical ideas, and then I'll sit down and write a novel."" I'll be so much more physically lazy when I'm old, too, so I'll probably be way happier to sit down for 12 hours a day."
Interviewer,Do you have more of a kinship to any particular artist community?
Grimes,"I don't know if I really relate to any creative community. I get jealous sometimes of the country music scene or rappers. I love scenes. Like, I love how Trent Reznor and Marilyn Manson worked together."
Interviewer,"I was singing with Weyes Blood  at a couple of shows, and I was like, ""You know what? This feels so good."" You have to work for it when there's not a natural scene exploding. You definitely have to get all your girls together."
Grimes,"I feel like female artists do it less. I might be wrong, but I feel like female artists especially need to stick together more."
Interviewer,"It's really amazing to get everybody together, especially in a more alternative scene where you're writing your own stuff."
Grimes,"It's interesting to hear you say the word ""alternative,"" because one thing that I've been loving lately is that it's had a resurgence since Trump. I'd say the peak of alternative music over the last ten years was when people like Kanye or Beyoncé would do this god-level A&R-ing, with all the smartest, most creative people combined onto one record. As we're talking about the death of the monoculture, I think more alternative music is starting to exist. I guess by ""alternative,"" I just mean, as you were saying, people writing their own stuff."
Interviewer,"And with the element of obvious authenticity or thoughtfulness to it. When you hear a Grimes song, you know that it's a Grimes song."
Grimes,"It's almost like gaydar. I can hear when someone is singing their own words. You hear someone like Rez or Peggy Gou, and for some reason, I just know they make their music."
Interviewer,"It's not that it's better, it's just super special."
Grimes,"I agree. Some people want to say one or the other is better. The battle should stop. Being someone who always looks good on camera, who can dance and sing,even if you don't write your own music, being a top-tier performer has got to be one of the hardest jobs in the world."
Interviewer,"Like Whitney Houston. How much of your identity do you feel is being a singer, and how much is being an artist?"
Grimes,"I feel like my whole identity is about being an artist. I was really sick earlier this year, and I had to spend two weeks in bed. I couldn't think and I couldn't make anything. It was crazy how my self-esteem just plummeted. I was a shell of a human."
Interviewer,"There definitely has to be an edge. I like to drive around and find a really strange spot to gather my thoughts. But in terms of what I'm writing, in my personal life I have to be really, really happy."
Grimes,"Oh, wow. That's crazy."
